# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 1.315214782953262329e-01 1.361413449048995972e-01 1.345259441869504913e-01
1.000000000000000000e+03 1.532896567368879914e-04 3.910658997483551502e-04 3.796245960692033912e-04
2.000000000000000000e+03 6.787049642298370600e-05 2.020295942202210426e-04 1.983055566902262173e-04
3.000000000000000000e+03 4.057152909808792174e-05 1.544776750961318612e-04 1.509199511927971445e-04
4.000000000000000000e+03 2.750741987256333232e-05 1.215586162288673222e-04 1.191094308782125727e-04
5.000000000000000000e+03 2.360680264246184379e-05 1.109950389945879579e-04 1.089523882736662802e-04
6.000000000000000000e+03 2.802439666993450373e-05 1.078972054529003799e-04 1.049213152446876207e-04
7.000000000000000000e+03 1.281514050788246095e-05 8.724089275347068906e-05 8.517685012866859154e-05
8.000000000000000000e+03 1.335182605544105172e-05 8.189262734958902001e-05 8.007230067375267529e-05
9.000000000000000000e+03 2.987603693327400833e-05 9.405206947121769190e-05 9.194536256922124316e-05
1.000000000000000000e+04 8.362673725059721619e-06 6.523707997985184193e-05 6.391089752974547431e-05
1.100000000000000000e+04 2.246102849312592298e-05 6.849995406810194254e-05 6.718169646487687891e-05
1.200000000000000000e+04 5.864787908649304882e-06 5.057351154391653836e-05 4.955284593475568479e-05
1.300000000000000000e+04 5.401965154305798933e-06 4.651556446333415806e-05 4.559051279175337090e-05
1.400000000000000000e+04 9.018092896440066397e-06 4.577206345857121050e-05 4.492358300415691733e-05
1.500000000000000000e+04 7.433793598465854302e-06 4.326805355958640575e-05 4.231858148423782586e-05
1.600000000000000000e+04 4.216229626763379201e-06 3.686511627165600657e-05 3.602961711055973905e-05
1.700000000000000000e+04 3.327971853650524281e-06 3.385788295418024063e-05 3.306774677656815545e-05
1.800000000000000000e+04 7.478257884940830991e-06 3.384309093235060573e-05 3.305102017711368181e-05
1.900000000000000000e+04 8.546669050701893866e-06 3.558175376383587718e-05 3.461118427651900932e-05
2.000000000000000000e+04 3.774887090912670828e-06 2.967628461192362010e-05 2.882899997668911588e-05
2.100000000000000000e+04 5.906619662709999830e-06 2.877003862522542477e-05 2.789969733038912624e-05
2.200000000000000000e+04 3.619509016061783768e-06 2.822775059030391276e-05 2.725793037989500945e-05
2.300000000000000000e+04 2.578982730483403429e-06 2.537127329560462385e-05 2.450442236339179708e-05
2.400000000000000000e+04 2.517670327506493777e-05 4.255952808307483792e-05 4.170705483969929536e-05
2.500000000000000000e+04 6.580944500456098467e-06 2.937847239081747830e-05 2.852772088982003326e-05
2.600000000000000000e+04 7.254176580318016931e-06 2.676722760952543467e-05 2.587606135565316404e-05
2.700000000000000000e+04 1.746108068800822366e-06 2.315722667844966054e-05 2.223151494105454678e-05
2.800000000000000000e+04 1.714872382763132919e-06 2.285387381562031806e-05 2.193729430562999346e-05
2.900000000000000000e+04 2.077166300296084955e-06 2.287973802594933659e-05 2.198441383938394295e-05
3.000000000000000000e+04 1.590930992279027123e-06 2.227775257779285312e-05 2.138740699052417505e-05
3.100000000000000000e+04 1.570688482388504781e-06 2.189587758039124310e-05 2.104988475583787622e-05
3.200000000000000000e+04 1.858060727499832865e-06 2.193334330513607711e-05 2.104339705520224266e-05
3.300000000000000000e+04 4.637616711988812312e-06 2.526031312299892306e-05 2.442108376664569791e-05
3.400000000000000000e+04 1.109954155253944919e-05 3.150212069158442318e-05 3.018144623015141961e-05
3.500000000000000000e+04 2.957079004772822373e-06 2.113587470375932753e-05 2.032779378902043279e-05
3.600000000000000000e+04 1.623654156901466195e-06 2.011551623581908643e-05 1.937870392129052954e-05
3.700000000000000000e+04 4.941742645314661786e-06 2.297680839546956122e-05 2.207636217240998563e-05
3.800000000000000000e+04 5.760949989053187892e-06 2.526681782910600305e-05 2.408747323501074354e-05
3.900000000000000000e+04 4.291196546546416357e-06 2.238283013866748661e-05 2.135697360065016363e-05
4.000000000000000000e+04 9.082227734324987978e-06 2.485503136995248497e-05 2.411346975146613715e-05
4.100000000000000000e+04 3.160329015372553840e-06 2.095149829983711243e-05 2.020847512315387731e-05
4.200000000000000000e+04 3.852921508951112628e-06 2.027120899583678693e-05 1.962025891899840224e-05
4.300000000000000000e+04 1.527339463791577145e-06 1.970043194887693971e-05 1.896615490396374158e-05
4.400000000000000000e+04 1.768732772688963450e-06 1.976203930098563433e-05 1.885979845919826147e-05
4.500000000000000000e+04 1.659112285778974183e-06 1.917497866088524461e-05 1.828516263728031344e-05
4.600000000000000000e+04 4.501437615545000881e-06 2.081037564494181424e-05 1.987312516481035785e-05
4.700000000000000000e+04 1.395352910549263470e-06 1.811146466934587806e-05 1.720937880421076775e-05
4.800000000000000000e+04 8.946732918957422953e-07 1.778947989805601537e-05 1.699213273346880093e-05
4.900000000000000000e+04 8.040536158659961075e-06 2.490490805939771235e-05 2.434724072073697618e-05
5.000000000000000000e+04 1.342285395367071033e-05 2.581159969849977642e-05 2.531431530081032090e-05
